Company Name,Skills required,Location,Job link
AlstomProjectsIndiaLtd.,"fundamentals,algorithms,signalprocessing,datamining,artificialintelligence,sql,databasemanagement,database,git,linux,debugging,shellscripting,imageprocessing,python,mining,machinelearning,infrastructure",,https://www.timesjobs.com/job-detail/senior-data-scientist-alstom-projects-india-ltd-0-to-3-yrs-jobid-PXDZtvwbUWBzpSvf__PLUS__uAgZw==&source=srp
TACSecurity,"san,python,enterprisesecurity,machinelearning,artificialintelligence,database,security,mysql,hadoop,bigdata",Mumbai,https://www.timesjobs.com/job-detail/machine-learning-engineer-tac-security-mumbai-0-to-3-yrs-jobid-rtS3gxwy8vhzpSvf__PLUS__uAgZw==&source=srp
paxceltechnologiespvt.ltt/paxcomindia(p)ltd,"fundamentals,algorithms,cuda,pythonscripting,git,linux,debugging,telecom,datastructures,softwareengineering,api,python,ivr,naturallanguageprocessing,mobile,machinelearning",Delhi,https://www.timesjobs.com/job-detail/machine-learning-nlp-paxcel-technologies-pvt-ltt-paxcom-india-p-ltd-delhi-0-to-3-yrs-jobid-A3BToEr6rEJzpSvf__PLUS__uAgZw==&source=srp
TiVo,"security,debugging,san,dts,python,algorithmdevelopment,teamplayer,problemsolving,machinelearning,imaging,opencv",,https://www.timesjobs.com/job-detail/associate-engineer-machine-learning-tivo-0-to-3-yrs-jobid-mGJtE0AUF__SLASH__NzpSvf__PLUS__uAgZw==&source=srp
WALMARTINDIA,"softskills,learning,timemanagement,leadershipdevelopment,compensation",,https://www.timesjobs.com/job-detail/intern-sr-data-scientist-walmart-india-0-to-2-yrs-jobid-UZtkc6nE2w1zpSvf__PLUS__uAgZw==&source=srp
WALMARTINDIA,"softskills,learning,timemanagement,leadershipdevelopment,compensation",,https://www.timesjobs.com/job-detail/intern-data-scientist-walmart-india-0-to-1-yrs-jobid-i3ds__PLUS__4JJB7ZzpSvf__PLUS__uAgZw==&source=srp
GettyImages,"leave,workforce,communication,healthbenefits,stressmanagement,learning,communicationskills,compensation,attendance",New York City,https://www.timesjobs.com/job-detail/senior-data-scientist-getty-images-new-york-city-0-to-1-yrs-jobid-tZ2gClk6OsNzpSvf__PLUS__uAgZw==&source=srp
TridiagonalSolutionsPvt.Ltd.,"manufacturing,chemicalengineering,chemicalengineer,innovation,teamwork,processdata,processengineering",Pune,https://www.timesjobs.com/job-detail/intern-data-scientist-tridiagonal-solutions-pvt-ltd-pune-0-to-3-yrs-jobid-kcjRzzqHZuFzpSvf__PLUS__uAgZw==&source=srp
TECHNOPARKTRIVANDRUM,"algorithms,python,machinelearning,git",Thiruvananthapuram,https://www.timesjobs.com/job-detail/machine-learning-engineer-l1-technopark-trivandrum-thiruvananthapuram-0-to-3-yrs-jobid-4rf9bsB8eyxzpSvf__PLUS__uAgZw==&source=srp
VSHSolutions,"python,datawarehousing,machinelearning,sql,nosql,java,git,ror,cassandra,mongodb",Pune,https://www.timesjobs.com/job-detail/senior-software-engineer-data-science-and-machine-learning-vsh-solutions-pune-0-to-3-yrs-jobid-172e7gTIJXZzpSvf__PLUS__uAgZw==&source=srp
